# Domain: gww1 (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (DST): lambda_100 = 103.4143459837881
method,resolution,dofs,lambda_100,time_s
DST,M = 17,100,140.83168840007733,0.0067
FD,M = 17,100,69.463211850054691,0.0009
DST,M = 23,189,100.9193122693725,0.0041
FD,M = 23,189,64.000000000000028,0.0025
DST,M = 35,451,103.00905392828049,0.0122
FD,M = 35,451,86.923668697663075,0.0084
DST,M = 47,825,103.3051328294998,0.0309
FD,M = 47,825,93.668777753235531,0.0241
DST,M = 59,1311,103.37604472389492,0.0982
FD,M = 59,1311,97.518436666156148,0.0731
DST,M = 65,1596,103.39129049066628,0.1534
FD,M = 65,1596,98.558557872586874,0.1248
DST,M = 77,2250,103.40688638101518,0.3309
FD,M = 77,2250,99.943438251465608,0.2993
DST,M = 89,3016,103.41347687725556,0.6577
FD,M = 89,3016,100.82738187926678,0.5813
DST,M = 101,3894,103.41630651621121,1.2936
FD,M = 101,3894,101.4145805816698,1.0807
DST,M = 113,4884,103.41741351884529,2.2469
FD,M = 113,4884,101.82139242329605,1.9800
DST,M = 125,5986,103.41768749909565,3.7762
FD,M = 125,5986,102.11464298445128,3.4478
DST,M = 137,7200,103.41754915890471,6.2815
FD,M = 137,7200,102.33314287147347,6.2050
DST,M = 155,9231,103.41699980298027,13.1309
FD,M = 155,9231,102.56972887679889,13.0945
DST,M = 179,12331,103.41607406710045,29.8583
FD,M = 179,12331,102.78034408366858,29.3999
FEM,Hmax = 0.71,119,201.69053449201542,0.0251
FEM,Hmax = 0.54,187,149.174390808743,0.0304
FEM,Hmax = 0.355,456,112.61226413131041,0.0460
FEM,Hmax = 0.262,889,106.67739711271111,0.0936
FEM,Hmax = 0.21,1379,104.90939808760417,0.2165
FEM,Hmax = 0.194,1591,104.54877755505082,0.2752
FEM,Hmax = 0.1667,2184,104.03485893537804,0.6573
FEM,Hmax = 0.144,2981,103.76020732925795,2.2134
FEM,Hmax = 0.1267,3835,103.63106864622503,5.8368
FEM,Hmax = 0.113,4847,103.5473107331285,12.1821
FEM,Hmax = 0.102,6068,103.50091938190693,22.5168
FEM,Hmax = 0.093,7298,103.47452016547939,38.4771
FEM,Hmax = 0.082,9152,103.45141413769427,73.7236
FEM,Hmax = 0.0712,12341,103.43257406049207,183.4225
