# Domain: gww1 (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (MPS): lambda_1 = 2.5379439997980
method,resolution,dofs,lambda_1,time_s
DST,M = 17,100,2.5910309512318395,0.0067
FD,M = 17,100,2.5367881499452487,0.0009
DST,M = 23,189,2.5749573493525908,0.0041
FD,M = 23,189,2.543418697439928,0.0025
DST,M = 35,451,2.5599326009082399,0.0122
FD,M = 35,451,2.5450956428597262,0.0084
DST,M = 47,825,2.5530591984517841,0.0309
FD,M = 47,825,2.5442980256244305,0.0241
DST,M = 59,1311,2.5492237242514433,0.0982
FD,M = 59,1311,2.5433714256925941,0.0731
DST,M = 65,1596,2.5478942367214472,0.1534
FD,M = 65,1596,2.5429613878862818,0.1248
DST,M = 77,2250,2.5459271017376679,0.3309
FD,M = 77,2250,2.5422634222225842,0.2993
DST,M = 89,3016,2.5445518184574945,0.6577
FD,M = 89,3016,2.5417059273072962,0.5813
DST,M = 101,3894,2.5435432810574388,1.2936
FD,M = 101,3894,2.54125761539159,1.0807
DST,M = 113,4884,2.5427762111504819,2.2469
FD,M = 113,4884,2.5408925562577451,1.9800
DST,M = 125,5986,2.5421757592187495,3.7762
FD,M = 125,5986,2.5405912690401884,3.4478
DST,M = 137,7200,2.541694656138326,6.2815
FD,M = 137,7200,2.5403394106845476,6.2050
DST,M = 155,9231,2.5411313040065888,13.1309
FD,M = 155,9231,2.5400318952697383,13.0945
DST,M = 179,12331,2.5405795083499925,29.8583
FD,M = 179,12331,2.5397165202797725,29.3999
FEM,Hmax = 0.71,119,2.5597787852363343,0.0251
FEM,Hmax = 0.54,187,2.5526650338784473,0.0304
FEM,Hmax = 0.355,456,2.5458015584912355,0.0460
FEM,Hmax = 0.262,889,2.5429036415651067,0.0936
FEM,Hmax = 0.21,1379,2.5415871494036506,0.2165
FEM,Hmax = 0.194,1591,2.5412939997858195,0.2752
FEM,Hmax = 0.1667,2184,2.5407130314250068,0.6573
FEM,Hmax = 0.144,2981,2.5402271908716574,2.2134
FEM,Hmax = 0.1267,3835,2.5398548949913602,5.8368
FEM,Hmax = 0.113,4847,2.539577205661316,12.1821
FEM,Hmax = 0.102,6068,2.5393491530513117,22.5168
FEM,Hmax = 0.093,7298,2.5391886895991149,38.4771
FEM,Hmax = 0.082,9152,2.5389853572892944,73.7236
FEM,Hmax = 0.0712,12341,2.5387917356722483,183.4225
