# Domain: rectangle (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (exact): lambda_1 = 1.2500000000000
method,resolution,dofs,lambda_1,time_s
DST,M = 15,105,1.2500000000000375,0.0033
FD,M = 15,105,1.2364126717779136,0.0013
DST,M = 21,210,1.2500000000002331,0.0037
FD,M = 21,210,1.2427966665768491,0.0024
DST,M = 31,465,1.2500000000001095,0.0152
FD,M = 31,465,1.2465906309294954,0.0130
DST,M = 41,820,1.2500000000000018,0.0311
FD,M = 41,820,1.2480198450797926,0.0325
DST,M = 51,1275,1.2500000000001339,0.0780
FD,M = 51,1275,1.2487078922982073,0.0723
DST,M = 61,1830,1.2499999999994553,1.1341
FD,M = 61,1830,1.2490909622101571,0.1721
DST,M = 71,2485,1.2499999999986273,0.3868
FD,M = 71,2485,1.2493258802423493,0.3366
DST,M = 81,3240,1.2500000000006364,0.7176
FD,M = 81,3240,1.2494802452329037,0.6497
DST,M = 91,4095,1.2500000000016342,1.3312
FD,M = 91,4095,1.2495870787498653,1.2560
DST,M = 105,5460,1.2500000000007696,2.9952
FD,M = 105,5460,1.249688937905824,2.8054
DST,M = 119,7021,1.2499999999967197,5.5227
FD,M = 119,7021,1.2497572791968281,5.1986
DST,M = 133,8778,1.2499999999982876,10.4471
FD,M = 133,8778,1.2498053441742669,10.0088
DST,M = 147,10731,1.2500000000086997,19.3971
FD,M = 147,10731,1.2498404271832315,20.0969
FEM,Hmax = 0.85,99,1.2509980991737917,0.0799
FEM,Hmax = 0.61,211,1.250227052087002,0.0464
FEM,Hmax = 0.42,441,1.2500586832565093,0.1567
FEM,Hmax = 0.32,865,1.2500149729846934,0.0931
FEM,Hmax = 0.26,1269,1.250006919787229,0.1327
FEM,Hmax = 0.22,1779,1.250003581548973,0.3401
FEM,Hmax = 0.188,2489,1.2500018455091597,1.3501
FEM,Hmax = 0.165,3215,1.250001105472478,3.3160
FEM,Hmax = 0.147,4005,1.2500007172751098,6.5733
FEM,Hmax = 0.127,5385,1.2500003945521962,16.6706
FEM,Hmax = 0.1125,6993,1.2500002364114868,33.6428
FEM,Hmax = 0.1,8825,1.2500001503749885,66.0809
FEM,Hmax = 0.0914,10699,1.2500001036552602,118.2351
