# Domain: isosceles_triangle (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (exact): lambda_100 = 290.0000000000000
method,resolution,dofs,lambda_100,time_s
DST,M = 15,105,335.33389106894862,0.0033
FD,M = 15,105,183.56876728174072,0.0011
DST,M = 21,210,280.76113890091932,0.0041
FD,M = 21,210,193.18322855044161,0.0017
DST,M = 31,465,289.94018624120463,0.0131
FD,M = 31,465,242.47681434326216,0.0077
DST,M = 41,820,289.9788071967165,0.0300
FD,M = 41,820,261.05991342636503,0.0231
DST,M = 51,1275,289.9897788768173,0.0841
FD,M = 51,1275,272.28426794275447,0.0664
DST,M = 61,1830,289.99424005243986,0.1965
FD,M = 61,1830,277.50305734076693,0.1674
DST,M = 71,2485,289.99642053991931,0.3942
FD,M = 71,2485,280.4346925239131,0.3346
DST,M = 81,3240,289.99761880696235,0.7459
FD,M = 81,3240,282.92527839188966,0.6458
DST,M = 91,4095,289.99833391664851,1.3859
FD,M = 91,4095,284.97313179527242,1.2327
DST,M = 105,5460,289.99892289690086,3.1395
FD,M = 105,5460,286.85175240340629,2.7663
DST,M = 119,7021,289.99926314993752,5.7485
FD,M = 119,7021,287.54107834629548,5.2498
DST,M = 133,8778,289.99947357902852,10.5915
FD,M = 133,8778,288.02667957945397,9.7887
DST,M = 147,10731,289.99961076890344,19.4451
FD,M = 147,10731,288.38153701586043,19.0044
FEM,Hmax = 0.3,212,390.68296644590748,0.0213
FEM,Hmax = 0.21,456,311.96498488838773,0.0304
FEM,Hmax = 0.16,829,299.35851058086968,0.0596
FEM,Hmax = 0.13,1231,294.80458868980185,0.1211
FEM,Hmax = 0.109,1816,292.33414956773493,0.3084
FEM,Hmax = 0.094,2406,291.38511894980388,0.9695
FEM,Hmax = 0.082,3207,290.80321979658368,2.9469
FEM,Hmax = 0.073,4108,290.50621777906747,7.0334
FEM,Hmax = 0.063,5576,290.2792853442935,18.7241
FEM,Hmax = 0.056,7016,290.1791826868735,35.8131
FEM,Hmax = 0.05,8896,290.11290989233061,70.6797
FEM,Hmax = 0.0456,10656,290.07978481634098,127.7119
