# Domain: gww2 (convergence of eigenvalue 100 against DOF, dense eig)
# Reference (DST): lambda_100 = 103.4146855566297
method,resolution,dofs,lambda_100,time_s
DST,M = 17,100,139.86669219785793,0.0043
FD,M = 17,100,69.463211850054748,0.0008
DST,M = 23,189,100.8563882713858,0.0032
FD,M = 23,189,64.000000000000085,0.0017
DST,M = 35,451,103.17400028979438,0.0115
FD,M = 35,451,86.923668697663288,0.0085
DST,M = 47,825,103.35112974218816,0.0318
FD,M = 47,825,93.668777753234522,0.0304
DST,M = 59,1311,103.39633116995729,0.0955
FD,M = 59,1311,97.518436666157655,0.0700
DST,M = 65,1596,103.40600534366483,0.1388
FD,M = 65,1596,98.558557872587386,0.1192
DST,M = 77,2250,103.41547962296045,0.3239
FD,M = 77,2250,99.943438251467711,0.2714
DST,M = 89,3016,103.41898515016985,0.6356
FD,M = 89,3016,100.82738187926897,0.5498
DST,M = 101,3894,103.42006653109244,1.2252
FD,M = 101,3894,101.4145805816737,1.0622
DST,M = 113,4884,103.42010090157362,2.1769
FD,M = 113,4884,101.82139242329403,1.9575
DST,M = 125,5986,103.41967749047346,3.7015
FD,M = 125,5986,102.11464298445131,3.3900
DST,M = 137,7200,103.41906503584761,6.2117
FD,M = 137,7200,102.33314287148296,5.8116
DST,M = 155,9231,103.41805120358411,13.4328
FD,M = 155,9231,102.56972887680135,11.8054
DST,M = 179,12331,103.41676051125404,29.5402
FD,M = 179,12331,102.78034408367026,29.0292
FEM,Hmax = 0.71,123,195.84386506539761,0.0435
FEM,Hmax = 0.54,184,156.16536558608854,0.0266
FEM,Hmax = 0.355,481,111.61035259312642,0.0516
FEM,Hmax = 0.262,882,106.75597757920201,0.0697
FEM,Hmax = 0.21,1393,104.84438519890799,0.1712
FEM,Hmax = 0.194,1545,104.61196196199738,0.2060
FEM,Hmax = 0.1667,2168,104.04874915236485,0.5947
FEM,Hmax = 0.144,2960,103.77047670243438,2.1597
FEM,Hmax = 0.1267,3876,103.62532606713101,5.7800
FEM,Hmax = 0.113,4924,103.54524342163724,12.4986
FEM,Hmax = 0.102,6028,103.50328498115061,23.5432
FEM,Hmax = 0.093,7352,103.47325152713313,40.7617
FEM,Hmax = 0.082,9144,103.45113135058624,81.1338
FEM,Hmax = 0.0712,12328,103.43265934905853,189.8786
