# Domain: isosceles_triangle (convergence of eigenvalue 1 against DOF, dense eig)
# Reference (exact): lambda_1 = 5.0000000000000
method,resolution,dofs,lambda_1,time_s
DST,M = 15,105,4.9987873193144932,0.0033
FD,M = 15,105,4.9456506871114003,0.0011
DST,M = 21,210,4.9995389539285231,0.0041
FD,M = 21,210,4.9711866663077418,0.0017
DST,M = 31,465,4.9998512197730491,0.0131
FD,M = 31,465,4.9863625237182987,0.0077
DST,M = 41,820,4.9999343686150146,0.0300
FD,M = 41,820,4.9920793803142587,0.0231
DST,M = 51,1275,4.9999654615863847,0.0841
FD,M = 51,1275,4.9948315691945666,0.0664
DST,M = 61,1830,4.9999796374255254,0.1965
FD,M = 61,1830,4.9963638488450925,0.1674
DST,M = 71,2485,4.999987003601202,0.3942
FD,M = 71,2485,4.9973035209695933,0.3346
DST,M = 81,3240,4.9999912045603239,0.7459
FD,M = 81,3240,4.9979209809335785,0.6458
DST,M = 91,4095,4.9999937734390132,1.3859
FD,M = 91,4095,4.9983483150049164,1.2327
DST,M = 105,5460,4.9999959298005985,3.1395
FD,M = 105,5460,4.99875575174487,2.7663
DST,M = 119,7021,4.9999971950154745,5.7485
FD,M = 119,7021,4.9990291168178373,5.2498
DST,M = 133,8778,4.9999979855239891,10.5915
FD,M = 133,8778,4.9992213768032343,9.7887
DST,M = 147,10731,4.9999985049944371,19.4451
FD,M = 147,10731,4.999361708721989,19.0044
FEM,Hmax = 0.43,97,5.003642015356232,0.0165
FEM,Hmax = 0.3,212,5.0009254046466474,0.0213
FEM,Hmax = 0.21,456,5.0002091705133411,0.0304
FEM,Hmax = 0.16,829,5.0000651454378815,0.0596
FEM,Hmax = 0.13,1231,5.0000298073092244,0.1211
FEM,Hmax = 0.109,1816,5.0000138773996508,0.3084
FEM,Hmax = 0.094,2406,5.0000080075464988,0.9695
FEM,Hmax = 0.082,3207,5.0000045504532853,2.9469
FEM,Hmax = 0.073,4108,5.0000027865871743,7.0334
FEM,Hmax = 0.063,5576,5.0000015199872072,18.7241
FEM,Hmax = 0.056,7016,5.0000009641252046,35.8131
FEM,Hmax = 0.05,8896,5.0000006047499141,70.6797
FEM,Hmax = 0.0456,10656,5.0000004205800739,127.7119
