# Domain: gww1 (accuracy of the first 1000 eigenvalues against DOF, dense eig)
# Reference: DST at M = 227, dofs = 19875
# max_rel_error = max over k <= 1000 of |lambda_k - lambda_k^ref| / lambda_k^ref
method,resolution,dofs,max_rel_error,arg_max,rel_error_at_n,time_s
DST,M = 53,1054,0.171787259956,1000,0.171787259956,0.0531
DST,M = 65,1596,0.0155358222007,920,0.0120495420771,0.1492
DST,M = 77,2250,0.011474678702,920,0.00866299752704,0.3353
DST,M = 89,3016,0.00532613890493,973,0.00354284872898,0.6526
DST,M = 101,3894,0.00374567179824,973,0.00180076475142,1.2272
DST,M = 113,4884,0.00231967884779,973,0.00105753216717,2.2893
DST,M = 125,5986,0.00150622489423,973,0.000651608410346,3.8632
DST,M = 137,7200,0.00101221716522,973,0.000406145232051,6.5052
DST,M = 149,8526,0.000692855972245,973,0.000250282579819,10.1578
DST,M = 167,10725,0.000393832303494,973,0.000115324504226,19.8290
FD,M = 53,1054,0.42257847626,746,0.373868580479,0.0433
FD,M = 65,1596,0.413033655219,1000,0.413033655219,0.1379
FD,M = 77,2250,0.319698552423,1000,0.319698552423,0.2968
FD,M = 89,3016,0.240731095916,1000,0.240731095916,0.5833
FD,M = 101,3894,0.19153174107,996,0.189713009891,1.1363
FD,M = 113,4884,0.155222752324,998,0.154618240433,2.0639
FD,M = 125,5986,0.127564752589,997,0.126876851152,3.5731
FD,M = 137,7200,0.106705778206,985,0.106327149013,6.0321
FD,M = 149,8526,0.0918684476997,996,0.0913752026393,9.5858
FD,M = 167,10725,0.074917769884,985,0.0742321945272,18.9360
FD,M = 185,13176,0.0617014446744,986,0.0590583297448,34.5795
FD,M = 197,14950,0.0554954269403,985,0.05132116289,52.1121
FEM,Hmax = 0.215,1259,0.786696495463,999,0.785311935847,0.1887
FEM,Hmax = 0.1979,1531,0.544813035062,1000,0.544813035062,0.2167
FEM,Hmax = 0.1667,2184,0.328197481746,1000,0.328197481746,0.7498
FEM,Hmax = 0.144,2981,0.195408108562,994,0.195106832213,2.2986
FEM,Hmax = 0.1267,3835,0.134387126419,1000,0.134387126419,5.5279
FEM,Hmax = 0.1131,4839,0.0680110388313,979,0.064621337945,12.0893
FEM,Hmax = 0.1022,6048,0.0515535328845,994,0.0512950934968,23.9806
FEM,Hmax = 0.0932,7002,0.0404766126247,999,0.0398249606043,36.9484
FEM,Hmax = 0.0856,8451,0.0293071482374,999,0.0287791543846,63.9806
FEM,Hmax = 0.0763,10656,0.0195072506998,999,0.0190087393666,125.3933
FEM,Hmax = 0.0689,13298,0.0131605166776,999,0.0128168395746,235.0296
FEM,Hmax = 0.0647,15143,0.0103721601078,999,0.0100385253099,356.5642
